"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "Markdown", "XML", "comment", "blank", "total"
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 39, 0, 0, 25, 64
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\NextUIProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\admin\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 5, 43
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\admin\overview\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\admin\products\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 6, 47
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 7, 42
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\cart\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 4, 54
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\cart\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 10, 73
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 7, 44
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\globals.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\my-orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 5, 43
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\orders\[orderId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 8, 64
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 7, 40
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\products\[productId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 10, 68
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\search\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\app\users\[userId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 15, 82
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\UI\AddToCartBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 0, 14, 148
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\UI\ErrorAlert.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\UI\Rating.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\UI\SubmitBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\UI\TableSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 5, 47
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\UI\ThemeChangerDropDown.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\UI\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 6, 57
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\UI\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 212, 0, 0, 0, 0, 31, 243
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\orders\AdminOrders.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\orders\Orders.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\orders\OrdersTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 0, 5, 79
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\admin\overview\Cards.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 6, 64
